sous_domaine,ip,statut,code_http,code_https,serveur
diner-webapp-stage.tesla.com                      ,diner-webapp-stage.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
diner-webapp.tesla.com                            ,diner-webapp.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
engage.tesla.com                                  ,d26t17nbk55wf2.cloudfront.net.,ACTIF          ,202,202,CloudFront          
fleetview.prd.america.vn.cloud.tesla.com          ,N/A            ,INACTIF        ,000,000,N/A                 
fleetview.prd.europe.vn.cloud.tesla.com           ,N/A            ,INACTIF        ,000,000,N/A                 
extgithub.tesla.com                               ,extgithub.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
forums.tesla.com                                  ,site-6030136.onvanilla.net.,INACTIF        ,000,000,N/A                 
genai.tesla.com                                   ,N/A            ,INACTIF        ,000,000,N/A                 
gfb.vdi.tesla.com                                 ,N/A            ,INACTIF        ,000,000,N/A                 
energy-technician.bottlerocket.tesla.com          ,;; communications error to 192.168.1.1#53: timed out,INACTIF        ,000,000,N/A                 
github-fw.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
events.tesla.com                                  ,13.111.47.195  ,INACTIF        ,000,000,N/A                 
github-it.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
fleet-api.eng.na.vn.cloud.tesla.com               ,epuca-eng.usw.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
fleet-api.prd.eu.vn.cloud.tesla.com               ,epuca-prd.euw1.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
githubmirroraus08.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
githubmirrorber02.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
gigabier.tesla.com                                ,external-na-pop1.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
github.tesla.com                                  ,N/A            ,INACTIF        ,000,000,N/A                 
githubmirror.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
fleet-api.prd.na.vn.cloud.tesla.com               ,epuca-prd.usw2.vn.cloud.tesla.com.,ERREUR_CLIENT  ,000,404,N/A                 
gridlogic.energy.tesla.com                        ,N/A            ,INACTIF        ,000,000,N/A                 
github-ap.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
inference.bottlerocket.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
gridlogic-eng.energy.tesla.com                    ,gridlogic-eng.sn.tesla.services.,INACTIF        ,000,000,N/A                 
inference-eu.bottlerocket.tesla.com               ,N/A            ,INACTIF        ,000,000,N/A                 
inference-eu-staging.bottlerocket.tesla.com       ,N/A            ,INACTIF        ,000,000,N/A                 
inference-staging.bottlerocket.tesla.com          ,N/A            ,INACTIF        ,000,000,N/A                 
kronosdb.tesla.com                                ,N/A            ,INACTIF        ,000,000,N/A                 
fleetview.fn.tesla.com                            ,fleetview.america.fn.tesla.com.,ACTIF          ,000,200,N/A                 
learning-apac.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
lighthouse.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
gridlogic-eng.powerhub.energy.tesla.com           ,N/A            ,INACTIF        ,000,000,N/A                 
gridlogic.powerhub.energy.tesla.com               ,N/A            ,INACTIF        ,000,000,N/A                 
fleet-auth.prd.vn.cloud.tesla.com                 ,fleet-auth.prd.vn.cloud.tesla.com.edgekey.net.,ERREUR_CLIENT  ,000,403,N/A                 
lionpayshare.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
ion.tesla.com                                     ,external-na-pop1.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
lionpaytest.tesla.com                             ,N/A            ,INACTIF        ,000,000,N/A                 
lionshare.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
kronos-dev.tesla.com                              ,kronos-dev.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,N/A                 
mfa-dev.tesla.com                                 ,N/A            ,INACTIF        ,000,000,N/A                 
kronos.tesla.com                                  ,kronos.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,N/A                 
gpv.tesla.com                                     ,gpv.tesla.com.akadns.net.,INACTIF        ,000,000,N/A                 
iad05-gpgw1.tesla.com                             ,199.120.48.30  ,INACTIF        ,000,000,N/A                 
monitoring-eu.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
mobile-links-cdn.prd.vn.cloud.tesla.com           ,d2qvfxpk5rs4fh.cloudfront.net.,REDIRECTION    ,301,000,CloudFront          
live-data.fn.tesla.com                            ,live-data.america.fn.tesla.com.,ACTIF          ,000,200,N/A                 
marketing.tesla.com                               ,13.111.47.196  ,INACTIF        ,000,000,N/A                 
media-server-api.eng.vn.cloud.tesla.com           ,usw-eng5x-media-npumedia-prd.teslafleet.akadns.net.,ERREUR_CLIENT  ,000,404,N/A                 
mobile-links-cdn.eng.vn.cloud.tesla.com           ,d14qurt0vbjsqs.cloudfront.net.,REDIRECTION    ,301,000,CloudFront          
media-server-dev-api.eng.vn.cloud.tesla.com       ,usw-eng5x-media-npumedia-prd.teslafleet.akadns.net.,INACTIF        ,000,000,N/A                 
mobile-links.eng.vn.cloud.tesla.com               ,npuca-eng.usw.vn.cloud.tesla.com.,ERREUR_CLIENT  ,000,403,N/A                 
mobile-links.prd.vn.cloud.tesla.com               ,npuca-prd.usw2.vn.cloud.tesla.com.,ERREUR_CLIENT  ,000,403,N/A                 
obs.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
OpenADRClient.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
nas-origin.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
owner-api.eng.vn.cloud.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
paymentrecon-stage.tesla.com                      ,N/A            ,INACTIF        ,000,000,N/A                 
payment-dlocal-stg.tesla.com                      ,N/A            ,INACTIF        ,000,000,N/A                 
payment-dlocal-prod.tesla.com                     ,N/A            ,INACTIF        ,000,000,N/A                 
paymentrecon.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
Payx-CitiAPI-Prod.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
pilot-bpay.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
raultest.tesla.com                                ,N/A            ,INACTIF        ,000,000,N/A                 
referral.tesla.com                                ,N/A            ,INACTIF        ,000,000,N/A                 
resources.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
monitoring.tesla.com                              ,23.41.116.211  ,INACTIF        ,000,000,N/A                 
mobile-ops-links.prd.vn.cloud.tesla.com           ,npuca-prd.usw2.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
s3.a.smf13.tcs.tesla.com                          ,N/A            ,INACTIF        ,000,000,N/A                 
sandbox-studio.courses.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
sentry.app.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
secureaccess.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
powerhub.energy.tesla.com                         ,powerhub.sn.tesla.services.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
sca.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
signaling-ap-api.eng.vn.cloud.tesla.com           ,N/A            ,INACTIF        ,000,000,N/A                 
ownerapi-alpha.prd.vn.cloud.tesla.com             ,epuca-eng.usw2.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
ownerapi-api.eng.euw1.vn.cloud.tesla.com          ,epuca-eng.euw1.vn.cloud.tesla.com.,ERREUR_CLIENT  ,000,404,N/A                 
ownerapi-api.eng.usw.vn.cloud.tesla.com           ,epuca-eng.usw.vn.cloud.tesla.com.,ERREUR_CLIENT  ,000,404,N/A                 
ownerapi-api.eng.usw2.vn.cloud.tesla.com          ,epuca-eng.usw2.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
sling.tesla.com                                   ,N/A            ,INACTIF        ,000,000,N/A                 
smt.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
sso-dec.tesla.com                                 ,N/A            ,INACTIF        ,000,000,N/A                 
sso-sandbox.tesla.com                             ,N/A            ,INACTIF        ,000,000,N/A                 
sso-sig.tesla.com                                 ,N/A            ,INACTIF        ,000,000,N/A                 
sentry-api.ops.na.vn.cloud.tesla.com              ,npuca-ops-sentry-5adb5ee7da9f2ec1.elb.us-west-2.amazonaws.com.,ERREUR_CLIENT  ,000,404,N/A                 
staging.bottlerocket.tesla.com                    ,N/A            ,INACTIF        ,000,000,N/A                 
sts-broker.bottlerocket.tesla.com                 ,N/A            ,INACTIF        ,000,000,N/A                 
solarbonds.tesla.com                              ,solarbonds.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
sc-cppm.tesla.com                                 ,na-vsc-rad.tesla.com.,INACTIF        ,000,000,N/A                 
studio.sandbox-courses.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
signaling-alpha.prd.vn.cloud.tesla.com            ,npuhe-eng-a-c517f248c251dc44.elb.us-west-2.amazonaws.com.,INACTIF        ,000,000,N/A                 
signaling-robotics.eng.vn.cloud.tesla.com         ,usw-eng5x-hermes-npuaph-prd.teslafleet.akadns.net.,ERREUR_CLIENT  ,000,404,N/A                 
sso-dev.tesla.com                                 ,sso-dev.edgekey.net.,ERREUR_CLIENT  ,000,404,AkamaiGHost         
taffy.bottlerocket.tesla.com                      ,N/A            ,INACTIF        ,000,000,N/A                 
sjc36-gpgw1.tesla.com                             ,199.120.49.30  ,INACTIF        ,000,000,N/A                 
tesla-inc-docsys-eorg.tesla.com                   ,N/A            ,INACTIF        ,000,000,N/A                 
studio.courses.tesla.com                          ,N/A            ,INACTIF        ,000,000,N/A                 
teslaquila.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
sso.tesla.com                                     ,tslaso.edgekey.net.,REDIRECTION    ,301,000,AkamaiGHost         
tf-poc.tesla.com                                  ,N/A            ,INACTIF        ,000,000,N/A                 
tokens-staging.bottlerocket.tesla.com             ,N/A            ,INACTIF        ,000,000,N/A                 
toolbox-beta.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
teslamezcal.tesla.com                             ,d1z7yzae8ztrxk.cloudfront.net.,ACTIF          ,200,000,CloudFront          
teslacmgap01.tesla.com                            ,teslacmgap01.southeastasia.cloudapp.azure.com.,ERREUR_SERVEUR ,000,500,N/A                 
teslacmgcn01.tesla.com                            ,teslacmgcn01.eastasia.cloudapp.azure.com.,INACTIF        ,000,000,N/A                 
teslacmgeu01.tesla.com                            ,teslacmgeu01.westeurope.cloudapp.azure.com.,INACTIF        ,000,000,N/A                 
teslacmgus01.tesla.com                            ,teslacmgus01.westus.cloudapp.azure.com.,ERREUR_SERVEUR ,000,500,N/A                 
teslacmgna01.tesla.com                            ,teslacmgna01.westus.cloudapp.azure.com.,INACTIF        ,000,000,N/A                 
toolbox.tesla.com                                 ,toolbox.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
teslatequila.tesla.com                            ,teslatequila.tesla.com.edgekey.net.,REDIRECTION    ,301,301,AkamaiGHost         
tripx.eng.usw.vn.cloud.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
track.tesla.com                                   ,track.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
ug.tesla.com                                      ,N/A            ,INACTIF        ,000,000,N/A                 
tripx.prd.euw1.vn.cloud.tesla.com                 ,N/A            ,INACTIF        ,000,000,N/A                 
vehicle-files.eng.vn.cloud.tesla.com              ,N/A            ,INACTIF        ,000,000,N/A                 
vehicle-files.prd.vn.cloud.tesla.com              ,N/A            ,INACTIF        ,000,000,N/A                 
veritas-staging.bottlerocket.tesla.com            ,N/A            ,INACTIF        ,000,000,N/A                 
tripx-alpha.prd.vn.cloud.tesla.com                ,npuca-eng.usw.vn.cloud.tesla.com.,ACTIF          ,000,200,N/A                 
vehicle-files.eng.euw1.vn.cloud.tesla.com         ,vehicle-files.eng.euw1.vn.cloud.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
tripx.eng.usw2.vn.cloud.tesla.com                 ,npuca-eng.usw.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
vpn1.tesla.com                                    ,N/A            ,INACTIF        ,000,000,N/A                 
vehicle-files.prd.euw1.vn.cloud.tesla.com         ,vehicle-files.prd.euw1.vn.cloud.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
vpn3.tesla.com                                    ,N/A            ,INACTIF        ,000,000,N/A                 
vpn.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
vrp-stg.tesla.com                                 ,N/A            ,INACTIF        ,000,000,N/A                 
vehicle-files.eng.usw2.vn.cloud.tesla.com         ,vehicle-files.eng.usw2.vn.cloud.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
tripx.prd.usw2.vn.cloud.tesla.com                 ,npuca-prd.usw2.vn.cloud.tesla.com.,ACTIF          ,000,200,N/A                 
tripx.prd.vn.cloud.tesla.com                      ,npuca-prd.usw2.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
vehicle-files.prd.usw2.vn.cloud.tesla.com         ,vehicle-files.prd.usw2.vn.cloud.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,N/A                 
view.emails.tesla.com                             ,13.111.49.179  ,INACTIF        ,000,000,N/A                 
vpn2.tesla.com                                    ,8.47.24.215    ,INACTIF        ,000,000,N/A                 
