subdomain,ip,status,http_code,https_code,server
staging-phalcon-deals.jumia.ci          ,N/A         ,DEAD       ,000   ,000   ,N/A         
staging-pay.jumia.ci                    ,staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
static-staging-pay.jumia.ci             ,static-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
tracking.jumia.ci                       ,N/A         ,DEAD       ,000   ,000   ,N/A         
static-pay.jumia.ci                     ,static-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
vendorhub.jumia.ci                      ,es2oobzgc5zl.wpeproxy.com.,ALIVE      ,200   ,200   ,cloudflare  
static-staging.jumia.ci                 ,static-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
www.deals.jumia.ci                      ,N/A         ,DEAD       ,000   ,000   ,N/A         
static.jumia.ci                         ,static.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
www.jumia.ci                            ,162.159.141.127,ALIVE      ,200   ,200   ,cloudflare  
vendorhub-template.jumia.ci             ,es2oobzgc5zl.wpeproxy.com.,ALIVE      ,200   ,200   ,cloudflare  
